user_id,interests,past_courses
U001,"ethical hacking,quantum computing,IoT,programming,cloud computing","C001,C004,C003"
U002,"cybersecurity,networking,mobile development",C005
U003,"augmented reality,algorithms,databases,cloud computing,AI","C001,C002,C004"
U004,"databases,quantum computing","C004,C002,C003"
U005,web development,"C003,C004,C001"
U006,"web development,computer vision,algorithms,IoT","C005,C001,C004"
U007,"quantum computing,databases,algorithms,natural language processing,augmented reality","C004,C005"
U008,"blockchain,programming,mobile development,computer vision,ethical hacking","C004,C005"
U009,"augmented reality,cloud computing","C003,C001"
U010,"natural language processing,cloud computing","C004,C003,C001"
U011,"web development,natural language processing,ethical hacking,quantum computing","C002,C001,C005"
U012,IoT,"C001,C005"
U013,"programming,web development,augmented reality",C001
U014,"augmented reality,networking,algorithms,databases,natural language processing",C003
U015,"algorithms,data science","C003,C005,C004"
U016,"programming,quantum computing,virtual reality","C002,C001"
U017,"quantum computing,mobile development,cloud computing",C005
U018,"programming,ethical hacking,virtual reality,game development,natural language processing",C005
U019,"game development,cybersecurity,networking,robotics","C001,C003"
U020,quantum computing,"C001,C002"
U021,computer vision,C001
U022,"data science,programming","C003,C002"
U023,"networking,natural language processing,robotics,virtual reality",C003
U024,"natural language processing,web development","C004,C001"
U025,web development,"C005,C002,C003"
U026,"IoT,natural language processing,data science,networking",C002
U027,"computer vision,cloud computing,mobile development,data science",C003
U028,web development,"C004,C002,C005"
U029,"quantum computing,augmented reality,cloud computing","C004,C002"
U030,"virtual reality,data science,algorithms",C001
U031,"data visualization,robotics,natural language processing,IoT,virtual reality","C002,C003,C005"
U032,"cybersecurity,mobile development","C001,C002,C004"
U033,"algorithms,virtual reality,natural language processing",C003
U034,cloud computing,"C002,C003,C001"
U035,ethical hacking,"C004,C001,C005"
U036,AI,"C003,C002,C001"
U037,networking,"C002,C005,C001"
U038,quantum computing,C001
U039,"blockchain,data science,virtual reality","C001,C003"
U040,"quantum computing,AI,web development,blockchain","C002,C005"
U041,"web development,mobile development,augmented reality,AI,robotics","C005,C003,C001"
U042,"IoT,AI,mobile development,quantum computing","C005,C004,C001"
U043,"quantum computing,blockchain,cybersecurity,web development",C004
U044,"robotics,augmented reality,virtual reality",C005
U045,"IoT,AI,databases",C003
U046,"ethical hacking,web development,natural language processing","C005,C004"
U047,"mobile development,databases","C004,C003,C001"
U048,"programming,game development,quantum computing,natural language processing","C005,C001,C003"
U049,"AI,cybersecurity",C005
U050,"natural language processing,cybersecurity",C001
U051,"data science,web development,mobile development,IoT,quantum computing","C001,C002,C003"
U052,"game development,databases","C004,C001"
U053,"robotics,natural language processing,programming,data visualization","C005,C003"
U054,"AI,virtual reality,web development,game development,cloud computing","C005,C003,C004"
U055,"programming,IoT,algorithms,ethical hacking,AI",C002
U056,"robotics,ethical hacking",C001
U057,ethical hacking,C004
U058,AI,"C003,C002,C001"
U059,"algorithms,data visualization,mobile development","C003,C004"
U060,"programming,databases,networking","C001,C005,C004"
U061,"data science,AI,algorithms,ethical hacking","C005,C004,C002"
U062,"game development,algorithms,natural language processing","C001,C004"
U063,web development,"C005,C002,C004"
U064,"cloud computing,algorithms,data science",C004
U065,"databases,data visualization,cybersecurity,networking",C005
U066,"cloud computing,networking,mobile development",C003
U067,"programming,computer vision,databases,web development","C003,C005,C002"
U068,robotics,C005
U069,web development,C002
U070,"web development,game development,augmented reality,programming,networking","C001,C002,C003"
U071,"blockchain,ethical hacking,IoT,cloud computing,robotics","C001,C005,C002"
U072,"quantum computing,robotics,programming,ethical hacking",C005
U073,"computer vision,data visualization,ethical hacking,IoT",C002
U074,"algorithms,quantum computing","C001,C005,C003"
